Sr. No.,Station-Location,Distance in Kms.,Dissolved Oxygen during 1986 (mg/l),Biological Oxygen Demand in 1986 (mg/l),Dissolved Oxygen during 2011 (mg/l),Biological Oxygen demand during 2011 (mg/l),Elevation,Population 
1,Gangotri,,,,,,10221,497
2,Tehri reservoir,,,,,,2244,59040
3,Rudraprayag,,,,,,2109,22237
4,Devprayag,,,,,,1985,8916
5,Rishikesh,0,8.1,1.7,7.6,1.4,1122,234387
6,Hardwar D/s,30,8.1,1.8,7.4,1.6,902,310045
7,Marinpur,,,,,,723,
8,Anupshahr,,,,,,601,91456
9,Farrukhabad,,,,,,435,494770
10,Garhmukteshwar,175,7.8,2.2,7.5,1.7,687,134628
11,Kannauj U/S,430,7.2,5.5,7.9,1.7,414,266514
12,Kanpur U/S,530,7.2,7.2,7.7,3.3,426,1861613
13,Kanpur D/S,548,6.7,8.6,7.6,3.8,,
14,Prayagraj,,,,,,286,1370465
15,Allahabad U/S,733,6.4,11.4,7.8,5.3,,
16,Allahabad D/S,743,6.6,15.5,7.8,5.1,,
17,Varanasi U/S,908,5.6,10.1,8,2.9,221,1697824
18,Varanasi D/S,916,5.9,10.6,8,4.3,,
19,Ballia,,,,,,167,392973
20,Patna U/S,1188,8.4,2,7,1.8,159,1734310
21,Patna D/S,1198,8.1,2.2,7.1,2.5,,
22,Mokama,,,,,,128,172035
23,Berhampore,,,,,,36,907789
24,Bansberia,,,,,,36,894926
25,Uluberia,,,,,,36,181595
26,Daimond Harbour,,,,,,-6.6,218636
